--- Component Usage Report (Generated: Sun Dec 14 21:34:04 +07 2025) ---
Searching for unused files in: components
--------------------------------------------------------
[✅ USED]: components/ReviewCarousel.tsx (Found 8 reference(s))
[✅ USED]: components/modules/cover-letter/CoverLetterForm.jsx (Found 4 reference(s))
[✅ USED]: components/modules/document-service/hooks/useDocumentGeneration.js (Found 1 reference(s))
[✅ USED]: components/modules/document-service/hooks/useDocumentControlsLogic.js (Found 3 reference(s))
[✅ USED]: components/modules/document-service/DocumentControls.jsx (Found 7 reference(s))
[✅ USED]: components/About.jsx (Found 9 reference(s))
[✅ USED]: components/AnnouncementBar.jsx (Found 3 reference(s))
[✅ USED]: components/ServiceCard.jsx (Found 10 reference(s))
[✅ USED]: components/AlertBanner.jsx (Found 4 reference(s))
[✅ USED]: components/ServiceList.jsx (Found 13 reference(s))
[✅ USED]: components/shared/ErrorFallback.jsx (Found 1 reference(s))
[✅ USED]: components/shared/DashboardSection.jsx (Found 4 reference(s))
[✅ USED]: components/Banner.jsx (Found 14 reference(s))
[✅ USED]: components/SessionWrapper.jsx (Found 1 reference(s))
[✅ USED]: components/Blog/Blog.tsx (Found 51 reference(s))
[✅ USED]: components/Blog/BlogCard.tsx (Found 6 reference(s))
[✅ USED]: components/Blog/BlogArticleHeader.tsx (Found 4 reference(s))
[✅ USED]: components/Blog/ArticleContentRenderer.tsx (Found 4 reference(s))
[✅ USED]: components/FlightOrderForm.jsx (Found 6 reference(s))
[✅ USED]: components/FlightBookingClient.jsx (Found 4 reference(s))
[✅ USED]: components/OurWorks/SkeletonCard.jsx (Found 3 reference(s))
[✅ USED]: components/OurWorks/WorkCard.jsx (Found 3 reference(s))
[✅ USED]: components/OurWorks/OurWorks.jsx (Found 5 reference(s))
[✅ USED]: components/ServiceRSCContent.jsx (Found 7 reference(s))
[✅ USED]: components/SEO.jsx (Found 10 reference(s))
[✅ USED]: components/LoginForm.jsx (Found 3 reference(s))
[✅ USED]: components/Hero/HeroMetrics.jsx (Found 6 reference(s))
[✅ USED]: components/Hero/Hero.jsx (Found 25 reference(s))
[✅ USED]: components/Hero/HeroBackground.jsx (Found 6 reference(s))
[✅ USED]: components/skeletons/BlogListSkeleton.tsx (Found 4 reference(s))
[✅ USED]: components/skeletons/ArticleSkeleton.tsx (Found 4 reference(s))
[✅ USED]: components/CTA/CTA.jsx (Found 20 reference(s))
[✅ USED]: components/Widget.jsx (Found 9 reference(s))
[✅ USED]: components/ui/Stepper/Stepper.jsx (Found 6 reference(s))
[✅ USED]: components/ui/alert.jsx (Found 54 reference(s))
[✅ USED]: components/ui/aspect-ratio.jsx (Found 2 reference(s))
[✅ USED]: components/ui/avatar.jsx (Found 14 reference(s))
[✅ USED]: components/ui/badge.jsx (Found 17 reference(s))
[✅ USED]: components/ui/button.jsx (Found 172 reference(s))
[✅ USED]: components/ui/card.jsx (Found 93 reference(s))
[✅ USED]: components/ui/input.jsx (Found 126 reference(s))
[✅ USED]: components/ui/label.jsx (Found 263 reference(s))
[✅ USED]: components/ui/line-shadow-text.jsx (Found 1 reference(s))
[✅ USED]: components/ui/marquee.jsx (Found 3 reference(s))
[✅ USED]: components/ui/navigation-menu.jsx (Found 2 reference(s))
[✅ USED]: components/ui/scroll-area.jsx (Found 1 reference(s))
[✅ USED]: components/ui/sheet.jsx (Found 46 reference(s))
[✅ USED]: components/ui/skeleton.jsx (Found 39 reference(s))
[✅ USED]: components/ui/sonner.jsx (Found 4 reference(s))
[✅ USED]: components/ui/spinner.jsx (Found 6 reference(s))
[✅ USED]: components/ui/table.jsx (Found 40 reference(s))
[✅ USED]: components/ui/tabs.jsx (Found 12 reference(s))
[✅ USED]: components/ui/textarea.jsx (Found 18 reference(s))
[✅ USED]: components/ui/tooltip.jsx (Found 20 reference(s))
[✅ USED]: components/ui/InputGroup.jsx (Found 3 reference(s))
[✅ USED]: components/ui/StickyActionBlock/StickyActionBlock.jsx (Found 2 reference(s))
[❌ UNUSED]: components/ui/use-toast.jsx
   -> (POTENTIAL DEAD CODE - Recommend review for deletion)
[✅ USED]: components/ui/toast.jsx (Found 125 reference(s))
[✅ USED]: components/ui/toaster.jsx (Found 9 reference(s))
[✅ USED]: components/ui/Badge.jsx (Found 17 reference(s))
[✅ USED]: components/ui/Button.jsx (Found 173 reference(s))
[✅ USED]: components/ui/Card.jsx (Found 93 reference(s))
[✅ USED]: components/ui/Carousel.jsx (Found 12 reference(s))
[✅ USED]: components/ui/FilePreview.jsx (Found 1 reference(s))
[✅ USED]: components/ui/Input.jsx (Found 127 reference(s))
[✅ USED]: components/ui/Loader.jsx (Found 28 reference(s))
[✅ USED]: components/ui/LogoutButton.jsx (Found 2 reference(s))
[✅ USED]: components/ui/Modal.jsx (Found 9 reference(s))
[✅ USED]: components/ui/PDFPreview.jsx (Found 2 reference(s))
[✅ USED]: components/ui/Rating.jsx (Found 20 reference(s))
[✅ USED]: components/ui/Section.tsx (Found 140 reference(s))
[✅ USED]: components/ui/Select.jsx (Found 31 reference(s))
[✅ USED]: components/ui/Signature.jsx (Found 12 reference(s))
[✅ USED]: components/ui/Textarea.jsx (Found 18 reference(s))
[✅ USED]: components/ui/Toast.jsx (Found 127 reference(s))
[✅ USED]: components/ui/Tooltip.jsx (Found 20 reference(s))
[✅ USED]: components/ui/Alert.jsx (Found 54 reference(s))
[✅ USED]: components/ui/ReviewCard.tsx (Found 7 reference(s))
[✅ USED]: components/utils/CleanUrl.tsx (Found 5 reference(s))
[✅ USED]: components/utils/ChunkErrorBoundary.jsx (Found 11 reference(s))
[✅ USED]: components/ServiceRSCWrapper.jsx (Found 6 reference(s))
[✅ USED]: components/layout/Header.jsx (Found 135 reference(s))
[✅ USED]: components/layout/MobileMenu.jsx (Found 3 reference(s))
[✅ USED]: components/layout/Footer.jsx (Found 62 reference(s))
[✅ USED]: components/DtiClientWrapper.jsx (Found 7 reference(s))
[✅ USED]: components/business/DtiCalculator/DtiCalculatorForm.jsx (Found 5 reference(s))
[✅ USED]: components/business/DocumentPreview/PreviewRenderer.jsx (Found 6 reference(s))
[✅ USED]: components/business/DocumentPreview/PreviewUpdater.jsx (Found 9 reference(s))
[✅ USED]: components/business/FileUploadZone/FileUploadZone.jsx (Found 5 reference(s))
[✅ USED]: components/HomePageClient.tsx (Found 4 reference(s))
[✅ USED]: components/ServiceListSkeleton.jsx (Found 10 reference(s))
--------------------------------------------------------
Script finished. Check unused_components_report.txt for results.
